,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What is the premise of the John Wick movie series?,"["": 19\nReview: If you've seen the first John Wick movie, you know that Keanu Reeves is John Wick, a retired assassin who comes out of retirement when someone kills his dog. In this one, which begins a week later, matters are still reverberating, and some one has stolen his car, which calls for a lot of carnage. That settled, John is called on to pay off an old debt by helping Ian McShane take over the Assassin's Guild by flying around to Italy, Canada and Manhattan and killing what seems like hundreds of assassins.""]","The premise of the John Wick movie series revolves around the character John Wick, a retired assassin who is forced back into the world of killing after his dog is killed and his car is stolen. Throughout the series, John navigates through various challenges and conflicts within the Assassin's Guild, leading to intense action sequences and confrontations with numerous adversaries.",simple,"[{'source': 'john_wick_2.csv', 'row': 19, 'Review_Date': '29 November 2020', 'Review_Title': ' John Wick Kills A Lot Of People\n', 'Review_Url': '/review/rw6320115/?ref_=tt_urv', 'Author': 'boblipton', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 24, 20, 14, 56, 416133)}]",True
1,What is the emphasis on hand-to-hand combat in the third chapter of the JOHN WICK franchise?,"[': 19\nReview: The inevitable third chapter of the JOHN WICK franchise continues on a high with the same quality as the last. In fact, this may just pip that one to the post to be the best JOHN WICK yet. The pacing is spot on and the plotting is measured by a huge amount of action sequences, all of which fizz and crackle with skill and energy. The movie hits the ground running as Keanu faces off with a hulking character in a library and then Triads in a weapon shop, but what really amazes here is the sheer inventiveness of the non-repetitive action. There are horse and motorbike chases, a Moroccan brawl with fighting dogs, alongside the massive action of the climax. There also seems to be a greater emphasis on hand-to-hand combat, featuring the likes of RAID actors and old-timer Mark Dacascos, which is a real pleasure as the choreography is top-notch. In terms of sheer enjoyment, this is a film hard to beat, and to criticise it at all is unnecessary. Bring on the fourth!']","The emphasis on hand-to-hand combat in the third chapter of the JOHN WICK franchise is significant, featuring the likes of RAID actors and old-timer Mark Dacascos. The choreography is top-notch, providing a real pleasure for the audience.",simple,"[{'source': 'john_wick_3.csv', 'row': 19, 'Review_Date': '22 September 2019', 'Review_Title': ' Sheer enjoyment\n', 'Review_Url': '/review/rw5135863/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 9, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 25, 20, 14, 56, 417369)}]",True
2,What is the spoiler-free review of John Wick: Chapter 2?,[': 7\nReview: This review of John Wick: Chapter 2 is spoiler free'],This review of John Wick: Chapter 2 is spoiler free,simple,"[{'source': 'john_wick_2.csv', 'row': 7, 'Review_Date': '17 February 2017', 'Review_Title': "" He's Bloody Back\n"", 'Review_Url': '/review/rw3641212/?ref_=tt_urv', 'Author': 'coreyjdenford', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 24, 20, 14, 56, 416109)}]",True
3,What makes the fights in John Wick 3 stand out from other action movies?,"["": 16\nReview: John Wick 3 is without a doubt the best action movie to have come out in a few years. And its so surprising and refreshing to see that movies like this still exist. Most action movies you see is filled with ridiculous amounts of shaky-cam, fast edits and way over-the-top fights. This is perfect. You can see all action clear as day, and by god the stuns in this film are extraordinary. Why the Academy Awards don't award talent like this is beyond me. There were times that I wondered if they had used CGI, because someone nuts must be willing to throw themselves from motorbikes and through glass. But whatever case it is, its a dam joy to watch.""]","The fights in John Wick 3 stand out from other action movies due to the lack of shaky-cam, fast edits, and over-the-top sequences. The action is clear, allowing viewers to appreciate the stunts, which are performed exceptionally well. The absence of excessive CGI and the use of practical effects make the fights in this film extraordinary and a joy to watch.",simple,"[{'source': 'john_wick_3.csv', 'row': 16, 'Review_Date': '16 May 2019', 'Review_Title': "" Finally an action franchise than doesn't lose its touch!\n"", 'Review_Url': '/review/rw4858493/?ref_=tt_urv', 'Author': 'Dannyboi94', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 25, 20, 14, 56, 417363)}]",True
4,What is the significance of practical stunt work in the action movie John Wick?,"[': 22\nReview: John Wick is one of my favourite recent years action movie and the second one pick up right where the first one left. The action is sharp, well filmed, no bad shaky cams and jump cuts like a certain bad action movie i saw recently. Its so refreshing to see everything and admire the practical stunt work.']","The significance of practical stunt work in the action movie John Wick lies in the sharp and well-filmed action sequences that are free from bad shaky cams and jump cuts. This approach allows viewers to appreciate the skill and effort put into the stunts, providing a refreshing and immersive experience.",simple,"[{'source': 'john_wick_2.csv', 'row': 22, 'Review_Date': '12 February 2017', 'Review_Title': ' This is how you film an action movie !\n', 'Review_Url': '/review/rw3638970/?ref_=tt_urv', 'Author': 'destroyerwod', 'Rating': 9, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 24, 20, 14, 56, 416139)}]",True
5,How does the excessive use of gun play impact the overall experience of the movie John Wick 3?,"["": 18\nReview: The first John Wick movie had a story. It had a plot and some character development. This movie has no such thing.\nI like an action movie as much as the next guy, but this was way over the top. If you like gun play, endless, goofy, martial arts crap, and broken glass, this movie is for you!\nThe last fight sequence was downright boring. I found myself wishing that the movie would just end; I didn't care who killed who. In fact, I was kind of hoping it would be Wick so that the movie would end and I could go home. The movie is about 30 minutes too long.\nHere's hoping that this is the end of the JW franchise, but I'm sure it won't be. I can guarantee i will not be fooled into purchasing a ticket to JW 4!""]","The excessive use of gun play in John Wick 3 negatively impacts the overall experience of the movie, making it feel over the top and lacking in story, plot, and character development. The constant focus on gun play, martial arts, and broken glass detracts from the viewer's engagement and enjoyment, leading to a boring and unfulfilling experience.",simple,"[{'source': 'john_wick_3.csv', 'row': 18, 'Review_Date': '19 May 2019', 'Review_Title': ' Silly\n', 'Review_Url': '/review/rw4863706/?ref_=tt_urv', 'Author': 'jhr2012', 'Rating': 1, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 25, 20, 14, 56, 417367)}]",True
6,What event triggers the beginning of the story in John Wick?,"["": 18\nReview: When the story begins, John (Keanu Reeves) has just lost his wife. After her death, he's a bit lost but tries to rebuild his life. One day, he's getting gas and a young Russian-American punk notices Wick's classic car...and tries to buy it off him. But Wick isn't interested and declines. Soon, the punk arrives at Wick's home with some goons where they surprise him--beating him senseless, destroying his stuff, killing his dog and stealing his car! This is when you then learn that Wick is a super-assassin....and the punk chose the wrong guy to attack. The jerk's father is a big-time Russian mobster....and it's a contest to see who will win...the mobster and his gang or Wick on his own. Considering there are (so far) two MORE John Wick films, it pretty much seems certain who will win this battle.""]",The death of John's wife triggers the beginning of the story in John Wick.,simple,"[{'source': 'john_wick_1.csv', 'row': 18, 'Review_Date': '10 September 2019', 'Review_Title': ' Probably NOT a film to watch with your kids or mother.\n', 'Review_Url': '/review/rw5112990/?ref_=tt_urv', 'Author': 'planktonrules', 'Rating': 7, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 23, 20, 14, 56, 414671)}]",True
7,What set the first John Wick film apart from traditional action films?,"[': 5\nReview: The first John Wick film was special because it broke a mold of sorts. It went against certain action film conventions - the hero was not a muscle bound hulk like a Schwarzenegger or Stallone, the action was super fast paced, the plot was basic and straighforward, but introduced some unique elements, and there was something a bit unique and stylish about the film. John Wick was cool.']","The first John Wick film stood out from traditional action films due to several factors. Firstly, the protagonist was not a typical muscle-bound hero like Schwarzenegger or Stallone. Additionally, the film featured fast-paced action sequences, a simple yet unique plot, and a stylish presentation that set it apart from the usual action movie formula. These elements combined to make John Wick a cool and distinctive film.",simple,"[{'source': 'john_wick_3.csv', 'row': 5, 'Review_Date': '17 July 2019', 'Review_Title': ' The magic is gone\n', 'Review_Url': '/review/rw4999970/?ref_=tt_urv', 'Author': 'soundoflight', 'Rating': 5, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 25, 20, 14, 56, 417344)}]",True
8,What role do bounty-hunting killers play in the plot of the movie John Wick?,"["": 5\nReview: Ultra-violent first entry with lots of killings, thrills , noisy action , suspense , and crossfire . In this original John Wick (2014) , an ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him . With the untimely death of his beloved wife still bitter in his mouth he seeks for vengeance . But when an arrogant Russian mob prince and hoodlums steal his car and kill his dog , they are fully aware of his lethal capacity. The Bogeyman will find himself dragged into an impossible task as every killer in the business dreams of cornering the legendary Wick who now has an enormous price on his head . In this first installment John Wick , blind with revenge, and for his salvation John will immediately unleash a carefully orchestrated maelstrom of destruction against those attempt to chase him and with a price tag on his head, as he is the target of hit men : an army of bounty-hunting killers on his trail and a murderer woman everywhere . The legendary hitman will be forced to unearth his meticulously concealed identity and to carry out a relentless vendetta . Now, only blood can quench the boogeyman's thirst for retribution . Don't Set Him Off! . John Wick isn't the Boogeyman... He's the guy you send to kill the doomed Boogeyman. Revenge is all he has left. You want peace, prepare for war . Don't Hunt What You Can't Kill. Tick Tock, Mr. Wick. Everyone Is Waiting. For John Wick . Every Action Has Consequences. This Friday, Wick is Back . Its the World Vs. Wick. Every Action Has Consequences.""]","Bounty-hunting killers play a significant role in the plot of the movie John Wick, as they are hired to track down and eliminate John Wick, who has a price on his head. They form an army of hitmen chasing after him, adding to the suspense and action of the film.",simple,"[{'source': 'john_wick_1.csv', 'row': 5, 'Review_Date': '23 March 2023', 'Review_Title': ' Violent and gripping story with plenty of unstopped action , shootouts and breathtaking fights\n', 'Review_Url': '/review/rw8945545/?ref_=tt_urv', 'Author': 'ma-cortes', 'Rating': 7, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 23, 20, 14, 56, 414645)}]",True
9,What is the difference between the action scenes in John Wick 3 and other action movies in terms of shaky-cam and fast edits?,"["": 16\nReview: John Wick 3 is without a doubt the best action movie to have come out in a few years. And its so surprising and refreshing to see that movies like this still exist. Most action movies you see is filled with ridiculous amounts of shaky-cam, fast edits and way over-the-top fights. This is perfect. You can see all action clear as day, and by god the stuns in this film are extraordinary. Why the Academy Awards don't award talent like this is beyond me. There were times that I wondered if they had used CGI, because someone nuts must be willing to throw themselves from motorbikes and through glass. But whatever case it is, its a dam joy to watch.""]","The action scenes in John Wick 3 stand out from other action movies due to the absence of shaky-cam and fast edits. Unlike most action films, John Wick 3 features clear, well-executed action sequences that allow viewers to appreciate the stunts and choreography. This clarity and precision in filming make the action in John Wick 3 exceptional compared to the typical over-the-top and chaotic action scenes found in other movies.",simple,"[{'source': 'john_wick_3.csv', 'row': 16, 'Review_Date': '16 May 2019', 'Review_Title': "" Finally an action franchise than doesn't lose its touch!\n"", 'Review_Url': '/review/rw4858493/?ref_=tt_urv', 'Author': 'Dannyboi94', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 25, 20, 14, 56, 417363)}]",True
